line_1,line_2,line_3
his dust soft,on my fingers,the dead moth
snuffing the flame,the quiet room,quieter
the quiet,of making soup,winter rain
dark winter day,learning from doves,when dusk comes
holiday traffic,watching mountains grow,in the distance
me,and the mountain,winter solstice
drinking white,instead of red,night without stars
fresh market,the age of the hand,buying apples
a hawk slips,between the colors,river twilight
waiting for rain,a year is ending,in the woods
river twilight,a tiny crab touches,every shadow
calmed,by the riverbank,drifting wood
sunrise,and flowers blooming,on the table
hunting season,the maple's,blood red
chainsaw,hearing the river flow,afterward
sunday morning,the jasmine climbs,a cloud higher
valley wedding,the scent of gun smoke,coming uphill
nobody's tree,on the highest branch,the perfect apples
moon silence,the sound of a mouse,comes between us
another flood,a different voice,in the bayou
on his third try,the fish hawk wins,summer games
only a fish,nibbling a lily pad,morning fog
dry thunder,on the tip of my tongue,the scent of rain
the sound of heat,everything is,cicadas
as still as midnight,hanging in the moss,the dying moth
passing storm,bits of sky settle,in the treetops
a fish breaks,the river's calm,heat haze
lost in thought,the sound of wavelets,at the edges
pond of dust,a butterfly's quest,for a flower
troubled times,the grace of sunset,on a summer day
another tragedy . .,evening curls quietly,in the pond
summer firelight,the memory of a dog,nuzzles my hand
for a moment,the heat is so cold,deep south
spent candle,reading the last page,by first light
restless dreams,but there you are,morning sky
seed catalog,the colours of,a winter daydream
sacred ground,a bumblebee tastes,every poppy
morning fog,only the duck's cry,passes overhead
just after midnight,sounds become heartbeats,coyote song
running home,an empty mind,full of jasmine
frog by frog,the marsh erupts,with dusk
after the cranes,the sky refills,with silence
prairie afternoon,the grassy taste,of every breath
outgoing tide,what sand remembers,of night
forest trail,my thoughts meander,the fragrances
just where,creek becomes river,the rain begins
on the edge,of almost too far,crushed chili pepper
picket fence,i bury my cat,on the sunny side
all the quiet,gone from the pond,first bullfrog
between sunrise,and my bed,an owl flies home
cabin walls,feeling my way through,a wilderness night
against my skin,the roughness of firewood,hoar frost
twilight,a cricket's,sudden silence
river fog,stretching to sunrise,the voices of ducks
abandoned house,a windowsill heavy,with cactus bones
a dog howls,the river darker . .,one last beer
just west of dawn,an earful of geese,heading south
the grey sound,of a boat's emptiness,cold dawn rain
on the morning side,of the river's end,rising star
puddles of sky,a child's first step,in the clouds
growth rings,a child sings her way,around a tree
my missing pen,the cat pretends sleep,on a winter's eve
unknowns,waiting for the wind,to cry again
sunday eve,the blues moan softly,across the pond
storm clouds,billowing in the wind,a stranger's coat
deep canyon,the grand voice,of a tiny wren
desert night,a constellation of tents,glows yellow
smoke on the wind,midnight's every breath,tastes of fire
grey autumn day,knowing when it's time,in my bones
where trees bloom,with egrets at dusk,the quiet sky
at the deep end,of a winter day,birdsong
bark beetles,in the Ponderosa pine,these gnawing doubts
a famished mallard,has emigrated,to the city zoo
blackout --,how bright Mars shines,this summer night!
skyscraper,a window-washer squeegees,the thunderhead
insomnia,the mouse,has it too
afternoon rain-,a neighbor opening her curtains,too
in the cathedral,kneeling,photographer
as soon as the sun,lights up the busse's window,this mosquito get worked up
hardly half,the moon upright,clear november sky
leaves stir,on the pavement,full moon soon
through Caroline street,with four artichokes -,dripping nose
sleeping,beside the gold fish -,november full moon
High tide,oil reaching,new heights
End of the year,sweeping out flies,from the balcony
Full moon night -,the shape of the mannequins' breasts,in the shop-window
gardens' gates,closed on,to the waters
nobody sees,the red persimmons in the,abandoned garden
hurry up,to cross the trail,reckless snail !
Twilight -,fireflies lighting up,the old oak.
Melanoma -,the warrior's last,combat zone.
Third winter,without you -,the howling wind.
little masks on ...,the ice-cream truck,only blocks away
alone together,another glass of wine,the color of bruises
quarantined,laughter of newlyweds,next door
midnight...,tulips in a water glass,touching
eyes red,nostrils puffing smoke,all night poker
frigid night,the chimney belches heat,from his love letters
garden party,a sound crew checks,the microphone
afternoon break â,the hooker savors a hotdog,before the evening rush
steamy sex,in the church parking lot --,amazing Grace
"hey, the red bikini",coming out of the water,-- eleven o'clock
in the attic,grandpa's rabbit's foot,and Purple Heart
grandmaâs brassiere,on the clothesline,perky in the breeze
morning coffee -,familiar pleasure,in each other's eye
at the club,line dancing outside,the ladies room
house renovation -,the magic mushrooms,he hid 25 years ago
midnight ...,a cricket's falsetto,from the lingerie drawer
the last dance -,her cheap perfume,don't matter
farm stand ...,he squeezes the melons,she checks the zucchini
almost home,pausing by the pond,to reflect
day's end --,a cloud of fireflies,in the field
autumn chill . . .,the distant whistle,of the evening train
the earth softened ...,we planted tulips,when he loved me
winter rain --,one flowered umbrella,at the funeral
the coastal road...,spinnakers fill,with sunset
he kissed me,on the fourth of july,fireworks!!
old teahouse --,a swear word from,the green parrot
good news,the headlines blurred,in morning rain
almost dawn . . .,thoughts of you,when we were us
rainbow flags ...,the haunting sounds,of amazing grace
boyhood friends,home once again --,side by side
husband gone-,his watch ticks it's last tock,at her garage sale
first date --,wondering if the hat,is too much
afternoon tryst ...,thunder bangs overhead,in the sticky heat
closet renovation--,removing all her clothes,she nails the carpenter
the pastor's daughter,her Sunday dress,the color of bruises
carousel music ?,i still see my brother,on the painted pony
husband at work ?,the mailman knocks,to see the newborn
hail storm,rearranging gravel,in the Zen garden
winter rain --,a flowered umbrella,at the funeral
late night date,sand in her bra,all day long
Sunday brunch,his eyes on the crumb,kissing her cleavage
morning overcast--,she adds more blush,to her cheeks
sudden hail--,we sip bitter coffee,rehashing last night
tasting,the freckle on her cleavage,with my eyes
rummage sale --,her husband in the chair,not worth keeping
garage sale --,the flowered couch on which,I became a woman
arguing downstairs --,she shuts the windows,in her doll house
meditating and,resplendent in sunlight--,she finally swats the fly
first snow . . .,next to the new calendar,a clean slate
train whistle . . .,palm prints linger,against the glass
wedding anniversary--,"my parent's ashes, together",in the moonlight
surprise sneeze,the dandelion blows away,without a wish
seasons stilled--,a red paper poppy,in memoriam
an ancient path,in a sky without time,departing geese
her Sunday dress,the color of bruises,merging
Saturday night,the sound of weeping,seeps from the wall
before dinner...,the spider and a fly,share the sunset
crossroads,the brown core,of an apple
lifting fog,the face of an old friend,on my morning walk
daybreak ...,still sipping bitter coffee,we rehash last night
stars at dusk,a spray of willow buds,by the gate
requiem mass -,flecks of dust drift,in stifling air
tense meeting --,my chewing gum,out of flavor
inhaling spring -,her new breast,two months old
morning rush,he finds a half red kiss,on his coffee cup
never in darkness,ground zero lights the night,New Year's Eve
moonless night -,the bell buoy,talks to itself
morning tea,he cups his hands,around the glass
winter solstice,candle too short,for lingering night
dying afternoon light,the doctor touches her,uncombed hair
snail mail,delivered,in the cold rain
mother and daughter,chess game --,two queens
haiku conference --,lecturer delivers address,in three short sentences
haiku moment --,she writes her number,on his napkin
against the glass -,her palm prints,linger
nude beach,about size,and sighs
on her nape,beads of rain,slowly I follow them down
kitchen encounter ~,tasting the wine,from his lips
summer sidewalk -,drops of rain,steam
water bed,dreams,undulating
thunder,slate sky,crocus peeking
waiting room,a spider hangs,on silence
hospital room,the empty chair   takes,all the sunshine
slipping in,beneath the kitchen door,-first sunlight
paper moon-,falling off almost,this argument of mine
winter rain-,colder than ever,this bowl of rice
"Fog on the mountain,","Rain tapping the window pane,","Cup of tea, steaming."
my mother cries,on the other end of the phone,hard rain
mountain chapel,the rain-washed,bones of a sheep
weight that shifts,with the news of a death,storm light
this slow healing,a blackbird almost invisible,in the winter dusk
bonfire smoke,we talk about,our disappointments
edge of sleep,turning the pillow,for the cold side
new bookshelves,the poetry my cat finds,in an empty box
croissant crumbs,I try and find,the right words
summer rainstorm,the balloon man,sells umbrellas
sunset,the fisherman's silhouette,edged with light
three sneezes,all that's left,of the snowman
the cat shifts,from sunspot to sunspot,Sunday morning
making soup,my hands could be,my mother's hands
awake too early,trees shrouded in mist,the slow tick of a clock
the damp stain on the wall,only looks like a damp stain -,Monday morning
sunset over the sea,I remember when my mother,ran faster than me
again this year,the wind-sown poppies,flower between stones
empty cafe,the tip jar fills,with rain
my stories,getting better and better,four fingers of scotch
thanksgiving,my mind wanders,to my dead brother
crescent moon,just enough light,for this path
warm rain on the pond,my thoughts rise,with the koi
the red maple-,striptease,in the driveway
sunny afternoon,an old man lingers,near the mailbox
mountain stream,two well placed rocks,the path home
winter clouds,seem to move slower too,in the cold night
it happened,just after the full moon,snow
in the dry grass,frost appears,on the fallen pears
autumn breakfast,the last mosquito's hover,over my campfire
summer's end-,a cool rain slides,down the hollyhocks
summer's end,my hand lingers,in the dry grass
dandelion seeds,ai r  b  o   r   n,in a cool breeze
Shivering,in the cold spring air.,Plum blossoms!
along the road,shape of a willow,conforms to the trucks
obituary,a child's face,smiles from the page
sunset,fisherman rests,river flows on
puddle,from last nights rain,reflects the clouds
the moon fills,the empty tea cup,colder now
a new cross,in the pauper's cemetery,plastic roses
wild horses,graze the dry grass,dusting of snow
haze of gnats,around the porch light,milky way
blood moon rises,over the adobe wall,scent of red chile
plastic bags,trapped on barbed wire,roadside cross
blackberry brambles,along the road,blues on the radio
in spite of,bombs and lies,wildflowers
cloudless sky,a red kite,fades into the distance
mid december,candles line the window sill,silent night
applesauce,bubbles on the stove,november morning
corn stubble,rustles in the breeze,autumn equinox
graduates,hurry across the stage,dandelion seeds
Indian ponies,behind barbed wire,gathering clouds
plastic bag,trapped in a tree,flight cancelled
paupers' cemetery,only the clouds,come and go
jars filled with buttons,a journal,the things she left behind
midday heat,puddles tighten,around tadpoles
desert sunrise,following tracks,that follow tracks
frigid night,the homeless girlâs,naked doll
camouflage,makes him invisible,homeless vet
housing projects,the uphill struggle,of a freight train
far from home,an airplaneâs trip,through the Big Dipper
prairie lands,the wind blown edges,of tombstones
night bus,the emptiness,well lit
dividing the orchard,from the graveyard,old country road
closing time,empty bottles,empty faces
fish market,mackerels gaze,to the heavens
mountain road,the twists and turns,in her story
cloud drifts,the open mouth,of a water snake
summerâs end,I unpack,the smell of the sea
coffee house date,her choice of decaf,says it all
rain darkens,the small headstone,Motherâs Day
Roosevelt's statue,leading the cherry blossoms -,Cold April rain.
sugar for the tea,behind the bowl,a line of ants
fire ant mound,against the flower pot,after the rain
the Big Dipperâ,rows of corn connect,farm to farm
autumn chill -,the silence,of the bee hive
cloudy skies -,different shades of shadow,in the cauliflower
tai chi,slicing the morning mist,in quarters
the therapist says nothing,I haven't told myself -,rainless clouds
late night at the airport,the shoe shine man,polishes his own shoes
Buenos Aires tango,at the end of an alley,the Big Dipper
hot summer day,a bowl of picked berries,without sugar
beach house -,unlocking the gate,to the ocean
in and out,of the haiku lesson -,the fragrance of the lilies
open window,the moon's reflection,in the toilet bowl
jogging at dusk,around the neighborhood,the smell of garlic
waiting,for the rice to boil,winter moon
to the headstone,old footsteps frozen,in old snow
Japanese New Year,how small the new moon,in its halo
covered by snow,like the other stones,little Buddha
In his coffin,still,the chin wart
Near dusk,a flash of gold,in the heron's beak
Dead robin --,its breast still,burning red.
Buddhist temple-,even here smart phones,do the cha cha cha.
Not so good,for all the fish,Good Friday
St. Patrick's Day,in front of the pub,yellow pouring out of the daffodils
At rest,in the crow's nest,crescent moon
In Morse code,the woodpecker,announces spring
On the Ferris wheel,reaching up,to stroke the moon
egg moon â,she tries another,pregnancy stick
drenched in mist,the white-faced heron,shorter
her empty nursery . . .,a sudden breeze lifts,the floral curtains
yesterdayâs funeral,the lingering scent,of motherâs lilies
no water,in the stone fountain . . .,summer haze
phone call,the pupâs squeaky toy,fills the silence
festive season,she turns off the fairy lights,to view the stars
missing child,the distinctive cry,of a fan-tailed pigeon
a vagabond on the bench,covered with a nude girl,on the newspaper
just before dawn,the bright moon,of the computer screen
nightfall,I read the poems,in braille
first snow fall -,covered with maple leaves,at sunrise
first light,broken blue shell,under the maple
All Saints Day -,in the field only small,pumpkins are left
December dusk -,a solitary pine tree,all lit up
silent phone,only the ring,from his teacup
her fresh flowers -,his fresh grave,valentine's day
valentines -,the mailman's steps,break the ice
rush hour ~,closing the car window,on my hair
rainy Baltimore,umbrella blossoms,in cafe windows
summer solstice,he remembers,to lift the sea
fresh paint,a white moth circles,the bug light
noonâ,the egret shifts from stillness,to stillness
white sun ::,an inch of snow,on the lawnmower
harvest moon :,the bigger pumpkin,waits for a face
mill row ::,every door,a different color
harsh snow ::,a corpse,at the dam
election day ::,a butterfly about to settle,on the seesaw
new moon ::,my sister's voice,after all this time
steam billows,from the cooling tower ::,sunrise
morning mist--,a canada goose,asleep on the dock
painting,the dark side of the house--,solstice
midnight--,the changing wind,in the silver maples
the boat crests a wave -,tracing my finger around,an ancient stone
urban geese -,voices extemporise,around a sitar
so cold -,a goose honks its way,across the night sky
sodium light -,a darker world beneath,the puddles
lockerbie -,the long walk from graveyard,into town
silbury hill -,my wife pregnant with our,first child
cold snap -,more than my prints,on the camera
summer haze-,a lone grey wolf pads south,along the highway
thrill of her flute -,twenty three years,of our lips touching
stilled by the stream -,delicate frost flowers,crunch under work boots
evening traffic -,caught in a low moon,the heron's flight
slow-falling snow,the steady hand,of the beggar
June wedding,cottonwood fluff,in the veil
refilling the pill box,rain begins to wash,the blossoms away
August heat,the sizzle,of thick cut bacon
Distant thunder--,the smell of rain,before the storm.
Under the Magnolia,red seeds float away--,November rain.
april noon,out come the sun,and some slugs
street garden,again without leaves,faded graffiti
school bus,finally round the bend,lighting a cigarette
rubber boots,looking for the next,deeper puddle
rain clouds,basking in the light,of an Ikea lamp
Day of the Oscars-,in the Spring sun,I plant onions...
November clouds-,hearing of,my sister's illness...
after the storm,the wind chimes,realigning
riding down the escalator,the scent of snow,on damp coats
cracking walnut--,there might be,another universe
around where the,steppingstone ends off,autumn gone
from an old temple,to an old temple,autumn wind
hundreds of,gentians blooming--,class reunion
typhoon passed--,one watering can,in the sandbox
typhoon passed--,comes the,local circus
red dragonflies,gather around the,blind person
eclipse,the sudden darkness,of her eyes
rivulets,on a foggy window,the cancer's spread
first Christmas,a tiny new stocking,joins the family
moonlight,baby's cheek,at breast
early spring,everything,dripping
quitting time,the smell of rain,in the lobby
waves,slowly cresting towards shore,a faint moon
rainy bridge-,the river flowing,faster
spring breeze-,the balcony's shadows,on my book
winter drizzle,all the passing faces look,into the cafe
dwindling bonfire,a shooting star,near Orion
cold night-,a plane blinks through,Orion's bow
late night at the office,an exit sign floats,next to the moon
dark tree silhouettes,low on the horizon,Orion rises
earthquake night,Tokyoites walking home,the long Friday
back to my hometown,blooming with a sweet scent,mom's oriental lilies
thunder rolling,thinking of my daughter,at the campsite
frozen blueberries,in a bowl of yogurt,by the fireside
traffic jam,melting snow runs,on the windshield
a sunny day,pink haze of the cherry blossoms,over the hill
the old temple,a snake on the stone step,crawling away
a shower of falling sparks,neighbors wish,a good year
after the rain,red carpet,under the persimmon tree
typhoon warning,a farmer on the path,between the rice fields
the farmer lady,a few daffodils in a basket,of white radish
a new year's bonfire,misty rain,on the embers
scent of lilies,orange pollen,on my white sweater
crisp morning air,a bird left his feather,at my window
muggy night,a lizard on the window screen,- motionless
summer night breeze,each wish,on bamboo branches
rain clouds,fragrance of,sweet basil
hunter's moon --,the end of the path,darker
after the guests leave,the lilies,open
grey sky,a monarch butterfly,lost in autumn
frost,on the spent firework casing,new year's day
winter park -,white wings and blue lights,flashing
photo archive,the ice skaters' grins,frozen in time
a wasp,struggling in the web,last apples
clematis climbing,climbing through,the climbing rose
fifteen elephants -,after the storm,the cockerels waking
anti social behaviour -,all night the wind,kicks a can around
day long weeding,the last dandelion,under my bench
lazy rain,the solitary blackbird's,dawn chorus
last light,on the allotment,the glow of a fag dimp
crushed shell,in the morning light,the snail's last movements
leading deeper,into the woods,just birdsong
elevator,an ex's scent,hanging
returning from night shift,my neighbour,and his cat
the old barn wall,with every missing brick,a swallows nest
frosty morning,the steam rising from roofs,and my African coffee
recycled,with each bottle,the same resolution
morning mizzle,the screech of a gull,far from the sea
tinted windows -,through the gap,his fingers wriggle thanks
approaching storm,even the gate,has lost its squeak
April 2nd,the snow,still lying
two dog walkers,meet -,two conversations
the broken panes,of the old greenhouse -,still the new shoots
school fair,on the fireman's helmet,a faint smell of smoke
frozen dawn,the runner recovering,in his own steam
morning rush hour,at the side of the road,wild damsons
Caruso recording -,the gramophone crackle,lights the fires in his eye
the police car slows -,suburban foxes,looting from bins
restless -,across the summer night,siren upon siren
still the spent firework's,cordite smell -,nest of serpents
the name,I didn't want to see -,bitter coffee
airborne again -,the roadkill's,feathers
road trip,at the end of the argument,a patch of blue
the heather still in bloom -,we take Mum the long way,back to the hospice
chuntering at something,the blackbird on the fence post,- election day
weaving its way,through the rush hour traffic,a white butterfly
bringing only,silence,the storm cloud's weight
roadside memorial -,the faded plastic windmills,still racing
two minutes silence,the shifting light,of a windy day
sea mist...,watching the seal,watching me
looking at,the mirror's reflection,is that really you ?
riverside promenade --,seniors stroll through,falling leaves
Empty eyes,gaze at a poppy field...,journey's end.
a layer of ice,forms on the red sleigh--,february rains
high tide--,feeling the moon's pull,in the waves
january freeze--,koi chase each other,above the television
groundhog day...,sharing a sausage,with friends
autumn seabreeze...,a film of salt forms,on his glasses
grey morning...,a whale on the beach lies,shrouded in fog
beyond blossoms,under the cherry tree...,white snow cover
new widescreen tv:,watching junk in,high definition
winter day's end...,"a bowl of brown rice miso, ",warm in the hands
december warm spell,the neighborhood snowmen,are all plastic
frosty meadow--,another dawn,reaches across
between sips...,reading a book,about sake
her piano-playing,comes to an end...,sounds of autumn hail
first snowfall,the dog's legs,have become shorter
first snowfall...,here is a christmas card,"to be mailed, last year"
"at a desk,",i write,this ku
a bluejay takes flight--,the neighbour's car,needs washing
in the back alley,school-kids puffing away,in the shadow of a chimney
clothes dried on the lineâ,a spring morning,still in the folds
between,the swelling sound of crickets,pressing heat
spring showers,I peel a red onion,in running water
river walk,the scent of lilacs,and fresh tar
our new home,neglected in and out,but for white lilacs
at the lumber mill,only the river noises,and the wind
moss covered church,creeping through the open door,the warmth of May
crackling in the airâ,on a frigid afternoon,tea and ginger snaps
ripe wheat fields,"listening to the swoosh, swoosh",as rain clouds approach
dinner at sunset,rainbow bubbles,on the koi pond
neighbors shouting,from the wild grapes,multiple bird calls
field of dandelions,thousands of wishes,going unused
my umbrella,flipped in the windâ,uncertain days
masons at work,creeping along the stone wall,afternoon fog
death of a friend,more leaves,turning brown
white sheets on the line,slow-motion clouds,in the summer sky
wild roses,the iron trellis,tilts to one side
spring dawn,with the returning geese,my mind takes flight
the old town,even now the rough stones,soak up the warmth
early morning walk,reaching through the mist,for wild berries
a walk to the beach,the asphalt road changes,to sand
morning mist-,we follow the scent,of slow moving cows
bird song,pulling me out of a dream,first day of spring
haiku group,the discussion stops,for a robin
bus stop-,the winter dance,of cold feet
fresh snow,beginning the new year,with a clean slate
party over,the snap crackle of logs,in an empty room
the heat wave broken,morning coffee sweetened,with a cool breeze
cold sunshine,the stray orange cat,tucked into itself
sleety rain,flowered umbrellas,sold out
summer reading,the dot of an i,moves down the page
drifting,from somewhere,pear blossoms
a curve in the road,looking for lilacs,in the wind
the rain over,even with eyes shut,I know it's spring
gray and cold-,a hothouse bouquet,for his widow
incoming fog,a forgotten memory,comes in flashes
from an open barn,the odor of hay and manure,and climbing roses
"plot, plop on the road?",cars follow the cow trail,to the milking barn
moon gazing,fogging up the cold window,with my breath
snowy afternoon,a slow accumulation,of desire
stacking stones,for a garden wall,the weight of their age
bouquets of lilacs,the last bunch fills,a milk bottle
twilight rain,the scent of lilacs,through the window
dead heading lilacs,the fragrance lingers,in memory
April warmth-,a new crop of dandelions,since yesterday
an ant in my bed-,for the two of us,not enough room
a shift in the wind,all my neighnbor's leaves,are now mine
morning fog,a watercolor wash,of maple gold
sleety rain,waiting on the embers,before bed
Hurricane Irene,in the semi-darkness,a cold breakfast
heavy time,slowly ticking the minutes,Hurricane Irene
Fourth of July,watching fireflies,on the lawn
between morning chores,I open the door-,lilacs in the rain
all day long,the rhythmic beat,of melting ice
blank date book-,the gray afternoon,turns to white
sleet and rain-,stirring extra sugar,into hot mush
tree trimming,we listen to the music,of soft rain
early autumn,the sound of falling water,is cold
at the lawn concert,lighting one spot at a time-,fireflies
cricket in the house-,if only we shared,the same bedtime
the Thanksgiving meal -,after eating the talk,slows down
black-out--,the holiday glow,of fireflies
black-out--,in my neighbor's house,a room to room glow
A rippled moon :,"In the pond, ",A sinking stone.
after bombing,ruins of the bridge,linked by fog
a pebble,sinks into its silence,river dusk
"Lighting the room,",candle by candle;,a winter evening.
crocus breeze -,my dying mother's words,come back to me
sudden downpour -,the memory of a butterfly,washed away
from one year,to another -,the same moon
day moon -,the distance between us,full of silence
new moon,blue shadows in grey light,and week old snow
yellow walnut leaves,slowly appear on the lawn--,early morning light
the mulberry--,one brief smell of cut wood,in two hours work
homebound ferry,thoughts zigzagging,with the terns
the tall corn's shadow,stretched across the grave yard --,coming of Autumn
eye to eye,with a flight of geese --,lingering heat
cicada song,all through the twilight --,the moon also rises
"strong wind, little snow --",scraps and notes I've neglected,to throw away
the tang of hot tar,carried on a breeze --,summer's end
summer clouds --,not enough paint to hide,the graffiti
rabbit and the hawk -,an awful truth stains,the fresh snow red
medicine wheels,cairns of field stone appear,in the cold spring fog
shoots of green grain-,old abandoned houses,stand along the highway
through autumn's dusk,the computer wanes and hums,one hundred crows
autumn deepens,we gather the few,remaining seeds
an aroma,of green walnuts,summer dusk
100 degree heat,country-western music,from the asian bar
reaching,for a new found warmth,sweet rhubarb cake
she's found the gate,in the wall of willows,sunlight of spring
distant voices,a thin crust of ice,lingers on snow
long ago,I threw your letters away,footprints in snow
afraid of a boy,with an old man's eyes,needles of frost
the best lies,have the fewest details,cold half-moon
dull in a crescent's light,a canoe rests on the roof,autumn flood
a few leaves remain,at the ends of the branch,a brittle moon
sunflower,the day passing,slowly
August moon,countless raindrops to measure,the length of the day
moon phase,the welfare check,comes on the fifth
rose petals,fallen on bare earth,evening rain
the wasp,trapped between panes of glass,first spring light
a hazy moon,floats in my cup,white sake
homeless,pushing a cart along,Commerce Avenue
a line of coal cars,viewed from the railroad bridge,returning chill
icicles melting,another drunk pisses,in my alley
taking a bite,from a bitter orange,january thaw
christmas night,the little corner store,last to close
evening thunder,a homeless man,comforts his dog
city sunrise,these old buildings,cast long shadows
what day is this?,the metronome gathers dust,in the corner
4th of July,hotter than,a firecracker
no work today,a carpenter ant wanders,aimlessly
garage sale,customers discuss,philosophy
garage sale,tales of power',for half price
taiko drummers,listening to silence,between the beats
"no moon, no stars,",just dull light from the city,summer haze
lost,on wildwood road,water lilies directionless
suddenly,the toads go quiet,rain begins
long dry grass,bristles underfoot,iced tea
firecrackers,far off in the distance,pepper on my tongue
between the drone,of lawnmowers,a scent of rain
returning chill,dissonate melodies,from the ice cream truck
waiting for the moon,before departing,ducks on the roof
the park's spring,overflowing with sun -,home from night shift
night shift - still,I put on some make up,to lighten my darkness
green rimmed eye -,a glimmer of youth buried,in the fading iris
muddy grave -,the rich scent of roses,so red
full moon -,the bride tells me,it was forced
fridge magnet -,snack after snack,wasting away
advanced Parkinsonism,she wipes his dribbling saliva,remembers his kisses
half-moon,first day of the sales,in Oxford Street
gale force wind,dandelion seeds,in ocean depth
old barn --,the swallows' nests,long abandonned
Eid's sale,the Sikh shopkeeper,opens later than usual
so round the moon,this end of July the caesarian section,of the Green Cafe's landlady
wild Foehn,another murder,goes unsolved
mango flavoured tea,in a silver tin - departing guests,linger a while
"oh moon, moon",above so much powdery snow,father is still ill
a McDo box,floats towards the fountain,insect on board
first snow,the asylum seeker,thoughts on the land
moon of the rains ~,even longer the days,still so dark
checking dividends,on the cashpoint screen,to and fro...an ant
"roaches, cockroaches",heroins and cracks,in pavements and minds
a narrow boat,slowly along the canal,the moon
Remembrance Day-,even the traffic,pauses for 2 minutes
21-gun salute-,mortar fire echoes,in his eyes
dignified march-,veterans and peacekeepers,pass the applause
morning commute-,headlights fade,in the whiteout
How thin the moon!,the scent of lilacs,grows fainter...
divorce hearing,we talk about,the rain
daybreak,the train graffiti drips,autumn dew
the slow drift...,sunbeam across,an empty room
in her eyes,the end our date,the moon
in the lap,of a stone Buddha,fresh snow
solitary walk -,at nightfall the flash,of distant fireworks
stroke of midnight,the blast of foghorns,along the coast
after the rain,I check the growth,of each tulip
Sunday morning,smells of French toast,and cinnamon...
mother-in-law's face,on the biggest pumpkin,harvest moon --
untwisting,the rose bud,spring rain
winter nightâ,moving the bookmark,to another book
demolition site,the colors,of closet walls
this spring's fragrance,were it a woman I'd,follow wherever
sunlit helmet,the young soldier's eyes,invisible
twilightâ,a puff of smoke,from a passing train
bayou moonâ,the lingering scent,of cane whiskey
ripened tomatoesâ,the busy shadow,of my straw hat
up,with the chickensâ,bayou sun
deep winterâ,red beans one day,white beans the next
winter starsâ,moth carcasses dot,the window screen
snowstormâ,another poem,too wordy
stubbled fieldsâ,a fresh coat of snow,on a rusted pickup
winter windâ,he says my name,with a sigh
full moonâ,a swollen tick,on the sowâs ear
washday gossipâ,curtains flapping,in the breeze
October moonâ,the shadow of a cypress,dapples the headstones
gibbous moonâ,the swelling egg sac,of a wolf spider
summer's endâ,still a little croak left,in the bullfrog
falling leavesâ,she tells another lie,to cover the last
pouring more coffee,into the cupâ,rain on the bayou
a face,in the nursing home windowâ,filigree moon
heat shimmerâ,sinking my teeth,into a peach
detox centerâ,dry curling leaves,litter the doorway
full moonâ,the old dogâs howl,falls into a yawn
falling leavesâ,the cemetery,almost full
autumn sunsetâ,one pumpkin,left in the field
Sunday bells,the wide-open mouths,of sparrow hatchlings
harvest moonâ,an owl swoops,into a cornfield
wildflower bouquetâ,taking the ladybug,back outside
rain on the bayouâ,just enough moon to silver,the ripples
anniversaryâ,a few weeds,in the rose bed
summer windsâ,pieces of moon,through the willow
walking the old path,in secondhand shoesâ,new moon
the scent,of sun and rainâ,first summer peach
ripened tomatoesâ,the last colour,of sunset
leaden skyâ,the weight,of the dead sparrow
a whispering,among my kinfolkâ,wind in the cypresses
easing into,a glass of Merlot,moonlight through the pines
cloud with thunderâ,the way he says,"""whatever"""
approaching stormâ,the silence,between us
seniors dance,the occasional rush,of cologne
plunging a knife,into the watermelonâ,the heat
end of an affairâ,the ligustrum tree,no longer in bloom
motherâs dayâ,she wears her best apron,to wash the dishes
windfall appleâ,eye to eye with the worm,that found it first
summer starsâ,she tells a lie,without blinking
moonbeamsâ,a clump of mushrooms,where the bird's buried
summer hazeâ,mother's faded notes,for dewberry jam
first blossomsâ,three speckled eggs,in the wrenâs nest
spring rain,my tears fall for the nestling,the cat gifts me
spring cold snapâ,my garden spade turns up,half a worm
moving dayâ,cottonwood seeds drift,past my window
ripening cherriesâ,the cardinal's wife settles,deep in the nest
wildflowers,the many voices,of a blue jay
spring chillâ,one kitten left,without a nipple
ripening applesâ,unable to button,my summer dress
mile after mile,of corral fencingâ,wind in the clover
passing cloudâ,her pause,before the lie
scattered wind,fragments of conversation,drift from a pub
spring budsâ,the first batch of tadpoles,in the meadow pond
long winding road,the length,of our quarrel
spring stormâ,a small blue feather,in the catâs whiskers
bedtime storyâ,scribbles of rain,across the window
evening coffeeâ,wisps of fog rise,from the bayou
the lilac in budâ,a cloud with storm in it,swells over the bay
endless rain,without opening,a crocus falls
partly cloudyâ,I remember the face,but not the name
whiskey moonâ,a morning after,at the bottleâs end
a lake,brimming with mountainsâ,trout ripple the sky
bus window fog,the heart someone,left behind
rusted gate,old lilacs blooming,for no one
fly fishing,a rainbow arcs across,evening
October wind,sweeping cobwebs,from the wood pile
dusty knickknacks,mother's whole life,on one shelf
fireworks gone,Orion's beauty remains,in the stillness
gathering dusk,outside a quayside cafÃ©,fishermenâs lines
new home,she promises me the world,in a lilac tree
ursa major,a plane's navigation lights,leave the system
house clearance,room by room by room,my mother disappears
rain on the riverâ,when does white become,its darkest colour --
Kirkstone Pass,a sheepdog gathers,its part of the world
mistfall,the swansongs,of orb spiders
dark news,the comfort,of crows
hard frost-,the snail-hammerings,of a song thrush
family home,the grain of the wood,enters his hands
